,lat_x,lng_x,distance
400,1.2972029,103.8360899156286,0.4751251635578194 km
401,1.2972719,103.83672098612575,0.4227730094960574 km
402,1.2972760499999998,103.76516451691964,1.9726800733612233 km
403,1.2973111,103.7659953,1.97083361088309 km
404,1.2974896,103.8569368,0.3563572934926793 km
405,1.2975224,103.87164503473272,0.7148806236072359 km
406,1.2976111,103.83180346916166,0.8619141436278657 km
407,1.2976486,103.8532702,0.30245820145662206 km
408,1.2976662,103.8956886042791,1.4111152094078225 km
409,1.29770785,103.87447372698392,0.5725738046945449 km
410,1.29773195,103.8559134735316,0.30309058529472116 km
411,1.2978367,103.8335901,0.6679244747664496 km
412,1.2979487,103.82729648118068,0.6246866345172165 km
413,1.2980308,103.76637790361508,1.8938300970817723 km
414,1.2981302499999998,103.8332276876964,0.6933363037307112 km
415,1.2982562,103.88623159951769,0.9704699559699128 km
416,1.29841635,103.85717773862802,0.27950078133522177 km
417,1.2984194,103.8243187419794,0.4454413569133394 km
418,1.2984508,103.7654642,1.843029976024714 km
419,1.2984826,103.8423542,0.4136676272724253 km
420,1.2984854499999998,103.83687729504751,0.31478911354659095 km
421,1.298546,103.839355,0.19233461478388258 km
422,1.29856205,103.76456033459422,1.8318255986521625 km
423,1.2985638,103.88440785352569,0.8701061103421246 km
424,1.2985638,103.88493906310572,0.8861801036510165 km
425,1.2985982,103.8517487,0.15923121098683427 km
426,1.29861965,103.84163731018084,0.3371987515471446 km
427,1.2987726,103.895798,1.3152564309450319 km
428,1.2987806,103.84991368087135,0.05129376953061714 km
429,1.29902585,103.82488875720048,0.3923448280659107 km
430,1.2990439,103.8413796,0.28875002611030576 km
431,1.29905165,103.83206970977436,0.7922499954554071 km
432,1.299077,103.8264692,0.4696776380617529 km
433,1.29932595,103.83319668704708,0.6635602386028426 km
434,1.2993421,103.8541187,0.2159951987701523 km
435,1.29936265,103.83477436528072,0.4900645233645002 km
436,1.2996723,103.8980859838128,1.403988692629368 km
437,1.29967805,103.84691680892708,0.1095861463287195 km
438,1.2996793,103.9028291799552,1.8188655591112919 km
439,1.2997587,103.8160835156422,0.915092251310094 km
440,1.2997766,103.8369532,0.24338040326470856 km
441,1.29983215,103.82629838571044,0.3938943317558044 km
442,1.2998397,103.8971017,1.3142438420402254 km
443,1.29988105,103.88811428633838,0.9354159473160131 km
444,1.2998831,103.8570353833784,0.1612636767842372 km
445,1.30010805,103.84667445597408,0.13895388054708685 km
446,1.3001827,103.90082424938235,1.6026152640097784 km
447,1.30030265,103.82896717494278,0.613932017129985 km
448,1.30030955,103.83061642302155,0.7864767441204553 km
449,1.30035265,103.85094729701235,0.17179494332652614 km
450,1.3003843000000002,103.82993440799368,0.7116960753153946 km
451,1.30041555,103.86167907105472,0.22939909239563042 km
452,1.3004317,103.90120989735608,1.6224606923385925 km
453,1.3004468,103.8459093811848,0.17502283613046335 km
454,1.3004884,103.8277811,0.48510675178737733 km
455,1.3004894500000002,103.8285499481093,0.563131486126346 km
456,1.3005035,103.7989774479849,0.23617958954889098 km
457,1.3005809,103.89939364290174,1.4482654220574638 km
458,1.3005900499999998,103.86207258592036,0.19646109514097787 km
459,1.3006075,103.89840301472222,1.3605111768913047 km
460,1.30062,103.892783,0.969396354856356 km
461,1.3007487000000002,103.90414841610786,1.8872463704082056 km
462,1.30075895,103.79942466626407,0.23424050408330863 km
463,1.3008408500000002,103.88372185,0.6075030353905413 km
464,1.30086755,103.86182080820193,0.23593782256538212 km
465,1.30088285,103.8819469211246,0.5916992802783514 km
466,1.3009182,103.8299726,0.69938991795402 km
467,1.30093775,103.8539812,0.19902126397788072 km
468,1.3009943,103.8060594,0.7124860233017625 km
469,1.3011036,103.8985419,1.3379223904615607 km
470,1.3012061,103.8829006,0.5539639281941693 km
471,1.30120955,103.8470858524024,0.2689936326408502 km
472,1.3012484,103.83072603943414,0.7741385396195567 km
473,1.30134595,103.82981928933208,0.672874819031461 km
474,1.30135395,103.84594565183784,0.2728025670034597 km
475,1.3013638,103.90131,1.5774171656769949 km
476,1.3014187,103.84864400990352,0.3356192680095892 km
477,1.3014464,103.8475511859262,0.3133358578119088 km
478,1.3014769,103.9011745,1.5580943235844675 km
479,1.3015051,103.8249536,0.15769430794688663 km
480,1.3015062,103.8261915,0.2776614593045914 km
481,1.3015273,103.79765244572366,0.1254045703830702 km
482,1.3016469,103.8494406,0.31835631730395497 km
483,1.3019547,103.8934714,0.8786528127940364 km
484,1.3020129,103.8282948,0.4946796526034083 km
485,1.30202595,103.909308228146,2.0769497383829987 km
486,1.3020472,103.88290925,0.46136027423101217 km
